Country,Clicks,Impressions,CTR,Position
Bangladesh,168,8218,2.04%,10.06
United Kingdom,9,251,3.59%,4.94
United States,8,15889,0.05%,5.17
Saudi Arabia,6,201,2.99%,5.08
Australia,5,133,3.76%,4.58
Qatar,5,55,9.09%,4.93
Malaysia,4,121,3.31%,4.69
Canada,2,283,0.71%,4.93
France,2,71,2.82%,4.99
Hong Kong,2,28,7.14%,4.18
Kuwait,2,24,8.33%,5.33
India,1,357,0.28%,4.03
Italy,1,98,1.02%,4.78
China,1,78,1.28%,3.95
Singapore,1,62,1.61%,4.68
South Korea,1,34,2.94%,6.21
Poland,1,32,3.12%,5.44
Portugal,1,31,3.23%,4.16
Iraq,1,26,3.85%,6
Hungary,1,11,9.09%,2.91
Denmark,1,11,9.09%,5.55
Nepal,1,6,16.67%,1.83
Syria,1,3,33.33%,6.33
Brazil,0,293,0%,4.25
United Arab Emirates,0,104,0%,5.09
Mexico,0,87,0%,5.3
Vietnam,0,83,0%,5.23
Indonesia,0,81,0%,4.22
Germany,0,78,0%,5.26
Spain,0,56,0%,4.16
Colombia,0,49,0%,4.45
Argentina,0,45,0%,5.62
Japan,0,41,0%,5.71
Turkey,0,40,0%,5.12
Russia,0,39,0%,5.31
Philippines,0,33,0%,5.24
Pakistan,0,31,0%,5.81
Thailand,0,30,0%,4.73
Ukraine,0,28,0%,6.04
Oman,0,27,0%,6
South Africa,0,24,0%,5.12
Sweden,0,23,0%,5.7
New Zealand,0,21,0%,4.19
Iran,0,20,0%,5.2
Switzerland,0,20,0%,5.85
Netherlands,0,19,0%,4.16
Taiwan,0,19,0%,4.84
Ecuador,0,18,0%,3.56
Chile,0,17,0%,6.82
Peru,0,16,0%,4.62
Nigeria,0,16,0%,4.69
Ireland,0,13,0%,3.77
Belgium,0,12,0%,5.75
Greece,0,12,0%,6.58
Morocco,0,11,0%,2.36
Czechia,0,11,0%,5.36
Egypt,0,11,0%,6.18
Dominican Republic,0,10,0%,4.9
Moldova,0,9,0%,3.56
Maldives,0,9,0%,4.56
Romania,0,9,0%,5
Jordan,0,9,0%,5.33
Paraguay,0,9,0%,5.78
Tunisia,0,9,0%,7.33
Cyprus,0,8,0%,4.25
Serbia,0,8,0%,4.75
Cuba,0,7,0%,3.14
Uzbekistan,0,7,0%,4.71
Albania,0,7,0%,5
Norway,0,7,0%,8.86
Kosovo,0,6,0%,3
Belarus,0,6,0%,3.17
Afghanistan,0,6,0%,4.5
Costa Rica,0,6,0%,5.67
Sri Lanka,0,6,0%,7.17
Senegal,0,6,0%,11.67
Latvia,0,5,0%,2.2
Bolivia,0,5,0%,2.4
Algeria,0,5,0%,3
Cambodia,0,5,0%,3.2
Jamaica,0,5,0%,4.8
Venezuela,0,5,0%,4.8
Finland,0,5,0%,5
Slovakia,0,5,0%,5
Bulgaria,0,5,0%,5.2
Lithuania,0,5,0%,5.2
Bahrain,0,5,0%,6
Israel,0,5,0%,12.2
Kyrgyzstan,0,5,0%,13.4
Guatemala,0,4,0%,1
Trinidad & Tobago,0,4,0%,4.25
Austria,0,4,0%,4.5
Kenya,0,4,0%,5.75
Bosnia & Herzegovina,0,3,0%,2
Mongolia,0,3,0%,2
Palestine,0,3,0%,2.67
Georgia,0,3,0%,4
Croatia,0,3,0%,4
Luxembourg,0,3,0%,4
Tanzania,0,3,0%,4
Barbados,0,3,0%,6
Azerbaijan,0,3,0%,7
Panama,0,3,0%,9
Uruguay,0,3,0%,9.67
Botswana,0,2,0%,1
Kazakhstan,0,2,0%,1.5
El Salvador,0,2,0%,2
Rwanda,0,2,0%,5
Armenia,0,2,0%,5.5
Ethiopia,0,2,0%,5.5
Ghana,0,2,0%,5.5
Papua New Guinea,0,2,0%,6
Angola,0,2,0%,7.5
Mozambique,0,2,0%,9
Bahamas,0,1,0%,1
Brunei,0,1,0%,1
Cameroon,0,1,0%,1
Congo - Kinshasa,0,1,0%,1
Honduras,0,1,0%,1
Malta,0,1,0%,1
Nicaragua,0,1,0%,1
Slovenia,0,1,0%,1
Andorra,0,1,0%,2
Cape Verde,0,1,0%,2
Estonia,0,1,0%,2
Togo,0,1,0%,2
Aruba,0,1,0%,3
Congo - Brazzaville,0,1,0%,3
Belize,0,1,0%,4
Lebanon,0,1,0%,4
St. Lucia,0,1,0%,4
Mauritius,0,1,0%,4
Laos,0,1,0%,5
Swaziland,0,1,0%,5
Libya,0,1,0%,6
Côte d’Ivoire,0,1,0%,7
Unknown Region,0,1,0%,8
Burkina Faso,0,1,0%,9
Guadeloupe,0,1,0%,9
Puerto Rico,0,1,0%,10
