Time (UTC+06:00),Clicks,Impressions,CTR,Position
2026-07-27T14:00:00,9,279,3.23%,7.6
2026-07-27T15:00:00,8,353,2.27%,7.5
2026-07-27T16:00:00,5,612,0.82%,7.3
2026-07-27T17:00:00,2,226,0.88%,6.7
2026-07-27T18:00:00,8,264,3.03%,6.1
2026-07-27T19:00:00,4,264,1.52%,6.9
2026-07-27T20:00:00,7,275,2.55%,6.4
2026-07-27T21:00:00,6,420,1.43%,6.4
2026-07-27T22:00:00,12,364,3.3%,6.4
2026-07-27T23:00:00,7,289,2.42%,6.8
2026-07-28T00:00:00,10,252,3.97%,6.1
2026-07-28T01:00:00,5,222,2.25%,8.9
2026-07-28T02:00:00,3,147,2.04%,10.5
2026-07-28T03:00:00,0,109,0%,9.8
2026-07-28T04:00:00,6,111,5.41%,9.9
2026-07-28T05:00:00,0,124,0%,9.2
2026-07-28T06:00:00,1,107,0.93%,9.9
2026-07-28T07:00:00,1,130,0.77%,8
2026-07-28T08:00:00,2,211,0.95%,8.2
2026-07-28T09:00:00,10,245,4.08%,7.7
2026-07-28T10:00:00,3,237,1.27%,7.4
2026-07-28T11:00:00,2,118,1.69%,7.5
2026-07-28T12:00:00,0,10,0%,9.7
2026-07-28T13:00:00,0,0,0%,0
