Country,Clicks,Impressions,CTR,Position
Bangladesh,77,3292,2.34%,7.48
United States,5,1217,0.41%,7.05
United Kingdom,5,107,4.67%,5.79
Saudi Arabia,5,97,5.15%,5.92
India,3,116,2.59%,8.28
Singapore,2,31,6.45%,4.26
Italy,2,19,10.53%,6.84
Japan,2,16,12.5%,4.44
Greece,2,8,25%,6.38
United Arab Emirates,1,54,1.85%,4.83
Australia,1,26,3.85%,4.15
Switzerland,1,13,7.69%,2.85
Bahrain,1,8,12.5%,4.38
Spain,1,6,16.67%,10.67
Portugal,1,5,20%,4.2
Denmark,1,3,33.33%,3.33
South Africa,1,2,50%,2
Canada,0,43,0%,5.47
Malaysia,0,40,0%,8.35
Qatar,0,22,0%,6.05
Germany,0,17,0%,5.06
Russia,0,16,0%,8.88
Hong Kong,0,15,0%,6.4
Philippines,0,14,0%,23.71
Vietnam,0,13,0%,14.69
Oman,0,12,0%,4.92
France,0,12,0%,12.58
Algeria,0,10,0%,18.9
Finland,0,9,0%,3.78
Mexico,0,8,0%,13.75
Thailand,0,8,0%,18
Indonesia,0,8,0%,19.5
Turkey,0,8,0%,19.88
Netherlands,0,7,0%,4.43
Kuwait,0,6,0%,4.67
Morocco,0,6,0%,34.5
Brazil,0,5,0%,6.6
Iraq,0,5,0%,14
Ukraine,0,5,0%,18
Maldives,0,4,0%,5.75
South Korea,0,4,0%,6.25
New Zealand,0,3,0%,3.33
Poland,0,3,0%,4
Jordan,0,3,0%,24.33
Nepal,0,2,0%,3.5
Libya,0,2,0%,4
Iran,0,2,0%,5
Malta,0,2,0%,5.5
Chile,0,2,0%,8.5
Peru,0,2,0%,9
China,0,2,0%,9.5
Pakistan,0,2,0%,19.5
Ireland,0,1,0%,1
Liechtenstein,0,1,0%,1
Sweden,0,1,0%,1
Congo - Kinshasa,0,1,0%,2
Dominican Republic,0,1,0%,2
Kyrgyzstan,0,1,0%,2
Uruguay,0,1,0%,2
Belize,0,1,0%,3
Hungary,0,1,0%,3
Montenegro,0,1,0%,4
Czechia,0,1,0%,5
Belgium,0,1,0%,6
Latvia,0,1,0%,6
Senegal,0,1,0%,6
Syria,0,1,0%,6
Egypt,0,1,0%,7
Macau,0,1,0%,7
Mozambique,0,1,0%,7
Ecuador,0,1,0%,9
Lesotho,0,1,0%,9
Taiwan,0,1,0%,9
Tanzania,0,1,0%,9
Uzbekistan,0,1,0%,9
Argentina,0,1,0%,10
Honduras,0,1,0%,10
Norway,0,1,0%,10
Colombia,0,1,0%,11
