Country,Clicks,Impressions,CTR,Position
Bangladesh,214,11837,1.81%,12.03
United Kingdom,14,353,3.97%,4.64
United States,12,24633,0.05%,5.3
Saudi Arabia,9,309,2.91%,5.64
India,6,447,1.34%,4.59
Australia,6,167,3.59%,4.82
Qatar,6,69,8.7%,5.01
Malaysia,5,149,3.36%,4.5
Canada,4,390,1.03%,5.21
Singapore,3,96,3.12%,4.79
Germany,3,95,3.16%,4.99
Italy,2,122,1.64%,4.62
France,2,107,1.87%,4.91
Hong Kong,2,43,4.65%,4.21
Kuwait,2,40,5%,5.33
Nepal,2,14,14.29%,5.86
United Arab Emirates,1,172,0.58%,5.05
China,1,105,0.95%,4.01
South Korea,1,43,2.33%,5.26
Iraq,1,26,3.85%,5.27
Brazil,0,327,0%,5.01
Vietnam,0,134,0%,7.22
Mexico,0,117,0%,5.27
Indonesia,0,83,0%,4.58
Spain,0,77,0%,4.17
Japan,0,72,0%,4.67
Argentina,0,64,0%,5.84
Colombia,0,59,0%,5.07
Russia,0,47,0%,4.91
Philippines,0,45,0%,4.51
Turkey,0,44,0%,4.48
Oman,0,42,0%,5.62
Pakistan,0,42,0%,6.33
Poland,0,37,0%,5.03
Ukraine,0,37,0%,5.97
Netherlands,0,34,0%,4.68
Thailand,0,34,0%,5.09
Sweden,0,33,0%,5.58
Switzerland,0,30,0%,4.63
Iran,0,28,0%,4.57
Taiwan,0,27,0%,4.67
Ecuador,0,26,0%,3.69
South Africa,0,23,0%,4.52
Chile,0,21,0%,4.71
Peru,0,21,0%,5.62
Portugal,0,18,0%,4.61
Ireland,0,17,0%,4.71
Greece,0,17,0%,6.35
Venezuela,0,16,0%,4.06
New Zealand,0,15,0%,3.2
Morocco,0,14,0%,3.43
Dominican Republic,0,14,0%,4.57
Israel,0,14,0%,8.14
Algeria,0,13,0%,2.77
Denmark,0,13,0%,5.15
Nigeria,0,12,0%,3.75
Czechia,0,12,0%,4
Paraguay,0,12,0%,5
Austria,0,12,0%,5.58
Maldives,0,12,0%,6.08
Norway,0,12,0%,6.83
Cuba,0,11,0%,5.55
Egypt,0,11,0%,6.45
Moldova,0,10,0%,2.9
Sri Lanka,0,10,0%,6.2
Hungary,0,9,0%,2.67
Romania,0,9,0%,5
Uruguay,0,8,0%,6.12
Serbia,0,8,0%,8.88
Tunisia,0,7,0%,3.43
Guatemala,0,6,0%,2
Kosovo,0,6,0%,2.17
Belarus,0,6,0%,3.33
Lithuania,0,6,0%,3.67
Kazakhstan,0,6,0%,4
Belgium,0,6,0%,4.5
Jamaica,0,6,0%,5
Bahrain,0,6,0%,5.17
Kenya,0,6,0%,11.33
Azerbaijan,0,6,0%,13.17
Bolivia,0,5,0%,2.4
Jordan,0,5,0%,3.8
Cambodia,0,5,0%,3.8
Bulgaria,0,5,0%,4.4
Albania,0,5,0%,4.6
Slovenia,0,5,0%,5
Cyprus,0,5,0%,5.2
Trinidad & Tobago,0,5,0%,5.8
Senegal,0,5,0%,15.2
Latvia,0,4,0%,2.75
Croatia,0,4,0%,4.25
Uzbekistan,0,4,0%,4.5
Costa Rica,0,4,0%,5
Bosnia & Herzegovina,0,4,0%,6
Palestine,0,4,0%,6
Estonia,0,4,0%,6.5
Barbados,0,4,0%,6.75
Belize,0,3,0%,2.67
Honduras,0,3,0%,2.67
Mongolia,0,3,0%,2.67
Finland,0,3,0%,3.33
Georgia,0,3,0%,3.67
Luxembourg,0,3,0%,4
Kyrgyzstan,0,3,0%,5
Tanzania,0,3,0%,5
Ghana,0,3,0%,5.33
Syria,0,3,0%,7.67
Nicaragua,0,2,0%,1
Andorra,0,2,0%,1.5
Montenegro,0,2,0%,2
El Salvador,0,2,0%,2
Mauritius,0,2,0%,2.5
Ethiopia,0,2,0%,3
Puerto Rico,0,2,0%,5.5
Slovakia,0,2,0%,5.5
Angola,0,2,0%,7.5
French Polynesia,0,2,0%,7.5
Panama,0,2,0%,12.5
Togo,0,2,0%,16
Bahamas,0,1,0%,1
Brunei,0,1,0%,1
Botswana,0,1,0%,1
Central African Republic,0,1,0%,1
Congo - Kinshasa,0,1,0%,1
Guam,0,1,0%,1
Caribbean Netherlands,0,1,0%,2
Cape Verde,0,1,0%,2
Aruba,0,1,0%,3
Fiji,0,1,0%,4
St. Lucia,0,1,0%,4
Laos,0,1,0%,5
Palau,0,1,0%,5
Rwanda,0,1,0%,5
Swaziland,0,1,0%,5
Libya,0,1,0%,6
Malta,0,1,0%,6
Réunion,0,1,0%,6
Zimbabwe,0,1,0%,6
Afghanistan,0,1,0%,7
Antarctica,0,1,0%,7
Côte d’Ivoire,0,1,0%,7
Uganda,0,1,0%,7
Papua New Guinea,0,1,0%,8
Unknown Region,0,1,0%,8
Burkina Faso,0,1,0%,9
Guadeloupe,0,1,0%,9
Armenia,0,1,0%,10
Mozambique,0,1,0%,11
North Korea,0,1,0%,16
Lebanon,0,1,0%,18
