Date,Clicks,Impressions,CTR,Position
2026-06-13,57,6811,0.84%,5.8
2026-06-14,65,11241,0.58%,5.3
2026-06-15,84,11341,0.74%,5.6
2026-06-16,59,8411,0.7%,6
2026-06-17,75,8502,0.88%,5.7
2026-06-18,48,8341,0.58%,6.8
2026-06-19,62,8327,0.74%,6
2026-06-20,60,8543,0.7%,6
2026-06-21,76,8757,0.87%,5.8
2026-06-22,72,10347,0.7%,5.8
2026-06-23,95,10014,0.95%,5.7
2026-06-24,71,6654,1.07%,5.9
2026-06-25,81,6375,1.27%,5.6
2026-06-26,63,5439,1.16%,5.6
2026-06-27,79,5088,1.55%,5.7
2026-06-28,85,8284,1.03%,5.3
2026-06-29,97,10267,0.94%,5.7
2026-06-30,86,7963,1.08%,5.6
2026-07-01,87,8933,0.97%,6.1
2026-07-02,98,7596,1.29%,5.7
2026-07-03,83,6809,1.22%,5.7
2026-07-04,81,8727,0.93%,5.6
2026-07-05,86,7714,1.11%,5.8
2026-07-06,72,6663,1.08%,5.8
2026-07-07,58,5089,1.14%,6.1
2026-07-08,85,6138,1.38%,5.6
2026-07-09,61,5753,1.06%,5.7
2026-07-10,58,5005,1.16%,6.3
