Country,Clicks,Impressions,CTR,Position
Bangladesh,1360,59640,2.28%,5.77
United States,106,132363,0.08%,5.84
United Kingdom,96,2965,3.24%,5.4
Saudi Arabia,76,1758,4.32%,5.04
Canada,53,2303,2.3%,5.49
United Arab Emirates,46,1013,4.54%,4.62
India,45,2528,1.78%,5.73
Australia,33,960,3.44%,5.39
Malaysia,31,806,3.85%,5.06
Singapore,26,618,4.21%,4.7
France,23,613,3.75%,5.41
Kuwait,22,303,7.26%,4.58
Qatar,17,431,3.94%,4.68
Italy,16,569,2.81%,5.38
Oman,16,307,5.21%,4.58
Germany,9,910,0.99%,5.62
Japan,9,318,2.83%,5.57
Portugal,7,188,3.72%,4.75
South Korea,6,225,2.67%,6.08
Finland,6,109,5.5%,5.22
Netherlands,5,799,0.63%,5.28
Spain,5,362,1.38%,6.39
Pakistan,5,299,1.67%,5.72
Philippines,5,168,2.98%,6.3
New Zealand,5,105,4.76%,4.66
Indonesia,4,232,1.72%,6.16
Bahrain,4,127,3.15%,4.37
Sweden,4,107,3.74%,6
China,3,308,0.97%,6.43
Switzerland,3,245,1.22%,3.68
Hong Kong,3,189,1.59%,6.03
Ireland,3,171,1.75%,5.06
South Africa,3,163,1.84%,4.91
Maldives,3,66,4.55%,4.8
Nepal,2,99,2.02%,5.58
Austria,2,72,2.78%,5.25
Norway,2,55,3.64%,6.53
Uganda,2,29,6.9%,5.24
Kyrgyzstan,2,27,7.41%,4.33
Tanzania,2,15,13.33%,5.6
Vietnam,1,311,0.32%,6.8
Russia,1,170,0.59%,6.06
Poland,1,156,0.64%,5.81
Iraq,1,115,0.87%,4.81
Lebanon,1,54,1.85%,5.56
Denmark,1,49,2.04%,6.18
Czechia,1,46,2.17%,7.07
Sri Lanka,1,41,2.44%,5.46
Cyprus,1,29,3.45%,4.41
Croatia,1,28,3.57%,7.57
Cambodia,1,19,5.26%,6.79
Central African Republic,1,10,10%,5.6
Rwanda,1,10,10%,7.8
Togo,1,6,16.67%,3.5
Brazil,0,1371,0%,5.51
Mexico,0,419,0%,5.96
Argentina,0,278,0%,5.85
Colombia,0,246,0%,5.58
Turkey,0,227,0%,6.18
Thailand,0,175,0%,5.52
Ukraine,0,143,0%,6.08
Chile,0,117,0%,5.58
Morocco,0,115,0%,6.31
Venezuela,0,112,0%,5.7
Ecuador,0,108,0%,5.12
Belgium,0,95,0%,5.83
Peru,0,82,0%,5.62
Taiwan,0,79,0%,6.41
Israel,0,73,0%,5.64
Algeria,0,72,0%,5.54
Uzbekistan,0,70,0%,5.43
Greece,0,70,0%,6.13
Jordan,0,68,0%,5.13
Egypt,0,66,0%,5.83
Romania,0,63,0%,6.54
Kenya,0,59,0%,5.58
Tunisia,0,56,0%,5.52
Hungary,0,53,0%,5.87
Iran,0,53,0%,6.91
Jamaica,0,50,0%,5.7
Paraguay,0,50,0%,5.86
Uruguay,0,44,0%,5.68
Serbia,0,43,0%,6
Belarus,0,42,0%,5.05
Dominican Republic,0,42,0%,5.81
Trinidad & Tobago,0,38,0%,5.34
Nigeria,0,37,0%,6.95
Palestine,0,36,0%,5.44
Azerbaijan,0,34,0%,5.35
Panama,0,33,0%,5.42
Bulgaria,0,32,0%,5
Kazakhstan,0,31,0%,6.29
Barbados,0,29,0%,4.31
Bolivia,0,27,0%,4
Albania,0,27,0%,5.11
Senegal,0,26,0%,5.08
Lithuania,0,25,0%,8.6
Ethiopia,0,23,0%,5.35
Puerto Rico,0,23,0%,6.74
Malta,0,22,0%,6.27
Mauritius,0,21,0%,6.81
Slovenia,0,20,0%,6.85
Honduras,0,19,0%,4.53
Syria,0,19,0%,5.37
Costa Rica,0,19,0%,5.74
Georgia,0,19,0%,6.32
Côte d’Ivoire,0,17,0%,5.94
Nicaragua,0,16,0%,4.19
Bahamas,0,15,0%,3.67
Libya,0,15,0%,5.93
Cuba,0,15,0%,6.8
Macedonia,0,14,0%,6.86
Guyana,0,13,0%,4.77
Slovakia,0,13,0%,7.15
Latvia,0,12,0%,5.33
Bosnia & Herzegovina,0,12,0%,6.5
Moldova,0,12,0%,6.83
Estonia,0,11,0%,6.64
South Sudan,0,10,0%,4.5
El Salvador,0,10,0%,4.9
Luxembourg,0,10,0%,8.3
Armenia,0,9,0%,4.78
Belize,0,9,0%,4.78
Burkina Faso,0,9,0%,5.22
