Date,Affected pages
2026-04-13,0
2026-04-14,0
2026-04-15,0
2026-04-16,0
2026-04-17,0
2026-04-18,0
2026-04-19,0
2026-04-20,0
2026-04-21,0
2026-04-22,0
2026-04-23,0
2026-04-24,0
2026-04-25,0
2026-04-26,0
2026-04-27,0
2026-04-28,0
2026-04-29,0
2026-04-30,0
2026-05-01,0
2026-05-02,0
2026-05-03,0
2026-05-04,0
2026-05-05,1
2026-05-06,1
2026-05-07,1
2026-05-08,1
2026-05-09,1
2026-05-10,1
2026-05-11,1
2026-05-12,4
2026-05-13,4
2026-05-14,4
2026-05-15,4
2026-05-16,4
2026-05-17,4
2026-05-18,4
2026-05-19,4
2026-05-20,4
2026-05-21,4
2026-05-22,4
2026-05-23,5
2026-05-24,5
2026-05-25,5
2026-05-26,5
2026-05-27,5
2026-05-28,5
2026-05-29,5
2026-05-30,5
2026-05-31,5
2026-06-01,5
2026-06-02,6
2026-06-03,6
2026-06-04,6
2026-06-05,6
2026-06-06,6
2026-06-07,6
2026-06-08,6
2026-06-09,5
2026-06-10,5
2026-06-11,5
2026-06-12,5
2026-06-13,8
2026-06-14,8
2026-06-15,8
2026-06-16,8
2026-06-17,8
2026-06-18,8
2026-06-19,8
2026-06-20,8
2026-06-21,8
2026-06-22,8
2026-06-23,8
2026-06-24,8
2026-06-25,8
2026-06-26,8
2026-06-27,8
2026-06-28,8
2026-06-29,8
2026-06-30,8
